"targetViewSchema","targetView","targetTableSchema","targetTable"
"VIEW_APP_02","TABLE_020_VIEW","DWD_02","TABLE_020_PROFILE"
"VIEW_APP_02","TABLE_021_VIEW","ODS_02","TABLE_021_BASE"
"VIEW_APP_02","TABLE_021_VIEW","DWD_02","TABLE_021_PROFILE"
"VIEW_APP_02","TABLE_021_VIEW","ADS_02","TABLE_021_SUMMARY"
"VIEW_APP_02","TABLE_022_VIEW","ODS_02","TABLE_022_BASE"
"VIEW_APP_02","TABLE_022_VIEW","DWD_02","TABLE_022_PROFILE"
"VIEW_APP_02","TABLE_023_VIEW","ODS_02","TABLE_023_BASE"
"VIEW_APP_02","TABLE_023_VIEW","DWD_02","TABLE_023_PROFILE"
"VIEW_APP_02","TABLE_024_VIEW","ODS_02","TABLE_024_BASE"
"VIEW_APP_02","TABLE_024_VIEW","DWD_02","TABLE_024_PROFILE"
"VIEW_APP_02","TABLE_024_VIEW","ADS_02","TABLE_024_SUMMARY"
"VIEW_APP_03","TABLE_025_VIEW","ODS_03","TABLE_025_BASE"
"VIEW_APP_03","TABLE_025_VIEW","DWD_03","TABLE_025_PROFILE"
"VIEW_APP_03","TABLE_026_VIEW","ODS_03","TABLE_026_BASE"
"VIEW_APP_03","TABLE_026_VIEW","DWD_03","TABLE_026_PROFILE"
"VIEW_APP_03","TABLE_027_VIEW","ODS_03","TABLE_027_BASE"
"VIEW_APP_03","TABLE_027_VIEW","DWD_03","TABLE_027_PROFILE"
"VIEW_APP_03","TABLE_027_VIEW","ADS_03","TABLE_027_SUMMARY"
"VIEW_APP_03","TABLE_028_VIEW","ODS_03","TABLE_028_BASE"
"VIEW_APP_03","TABLE_028_VIEW","DWD_03","TABLE_028_PROFILE"
"VIEW_APP_03","TABLE_029_VIEW","ODS_03","TABLE_029_BASE"
"VIEW_APP_03","TABLE_029_VIEW","DWD_03","TABLE_029_PROFILE"
"VIEW_APP_03","TABLE_030_VIEW","ODS_03","TABLE_030_BASE"
"VIEW_APP_03","TABLE_030_VIEW","DWD_03","TABLE_030_PROFILE"
"VIEW_APP_03","TABLE_030_VIEW","ADS_03","TABLE_030_SUMMARY"
"VIEW_APP_03","TABLE_031_VIEW","ODS_03","TABLE_031_BASE"
"VIEW_APP_03","TABLE_031_VIEW","DWD_03","TABLE_031_PROFILE"
"VIEW_APP_03","TABLE_032_VIEW","ODS_03","TABLE_032_BASE"
"VIEW_APP_03","TABLE_032_VIEW","DWD_03","TABLE_032_PROFILE"
"VIEW_APP_03","TABLE_033_VIEW","ODS_03","TABLE_033_BASE"
"VIEW_APP_03","TABLE_033_VIEW","DWD_03","TABLE_033_PROFILE"
"VIEW_APP_03","TABLE_033_VIEW","ADS_03","TABLE_033_SUMMARY"
"VIEW_APP_03","TABLE_034_VIEW","ODS_03","TABLE_034_BASE"
"VIEW_APP_03","TABLE_034_VIEW","DWD_03","TABLE_034_PROFILE"
"VIEW_APP_03","TABLE_035_VIEW","ODS_03","TABLE_035_BASE"
"VIEW_APP_03","TABLE_035_VIEW","DWD_03","TABLE_035_PROFILE"
"VIEW_APP_03","TABLE_036_VIEW","ODS_03","TABLE_036_BASE"
"VIEW_APP_03","TABLE_036_VIEW","DWD_03","TABLE_036_PROFILE"
"VIEW_APP_03","TABLE_036_VIEW","ADS_03","TABLE_036_SUMMARY"
"VIEW_APP_04","TABLE_037_VIEW","ODS_04","TABLE_037_BASE"
"VIEW_APP_04","TABLE_037_VIEW","DWD_04","TABLE_037_PROFILE"
"VIEW_APP_04","TABLE_038_VIEW","ODS_04","TABLE_038_BASE"
"VIEW_APP_04","TABLE_038_VIEW","DWD_04","TABLE_038_PROFILE"
"VIEW_APP_04","TABLE_039_VIEW","ODS_04","TABLE_039_BASE"
"VIEW_APP_04","TABLE_039_VIEW","DWD_04","TABLE_039_PROFILE"
"VIEW_APP_04","TABLE_039_VIEW","ADS_04","TABLE_039_SUMMARY"
"VIEW_APP_04","TABLE_040_VIEW","ODS_04","TABLE_040_BASE"
"VIEW_APP_04","TABLE_040_VIEW","DWD_04","TABLE_040_PROFILE"
"VIEW_APP_04","TABLE_041_VIEW","ODS_04","TABLE_041_BASE"
"VIEW_APP_04","TABLE_041_VIEW","DWD_04","TABLE_041_PROFILE"
"VIEW_APP_04","TABLE_042_VIEW","ODS_04","TABLE_042_BASE"
"VIEW_APP_04","TABLE_042_VIEW","DWD_04","TABLE_042_PROFILE"
"VIEW_APP_04","TABLE_042_VIEW","ADS_04","TABLE_042_SUMMARY"
"VIEW_APP_04","TABLE_043_VIEW","ODS_04","TABLE_043_BASE"
"VIEW_APP_04","TABLE_043_VIEW","DWD_04","TABLE_043_PROFILE"
"VIEW_APP_04","TABLE_044_VIEW","ODS_04","TABLE_044_BASE"
"VIEW_APP_04","TABLE_044_VIEW","DWD_04","TABLE_044_PROFILE"
"VIEW_APP_04","TABLE_045_VIEW","ODS_04","TABLE_045_BASE"
"VIEW_APP_04","TABLE_045_VIEW","DWD_04","TABLE_045_PROFILE"
"VIEW_APP_04","TABLE_045_VIEW","ADS_04","TABLE_045_SUMMARY"
"VIEW_APP_04","TABLE_046_VIEW","ODS_04","TABLE_046_BASE"
"VIEW_APP_04","TABLE_046_VIEW","DWD_04","TABLE_046_PROFILE"
"VIEW_APP_04","TABLE_047_VIEW","ODS_04","TABLE_047_BASE"
"VIEW_APP_04","TABLE_047_VIEW","DWD_04","TABLE_047_PROFILE"
"VIEW_APP_04","TABLE_048_VIEW","ODS_04","TABLE_048_BASE"
"VIEW_APP_04","TABLE_048_VIEW","DWD_04","TABLE_048_PROFILE"
"VIEW_APP_04","TABLE_048_VIEW","ADS_04","TABLE_048_SUMMARY"
"VIEW_APP_05","TABLE_049_VIEW","ODS_05","TABLE_049_BASE"
"VIEW_APP_05","TABLE_049_VIEW","DWD_05","TABLE_049_PROFILE"
"VIEW_APP_05","TABLE_050_VIEW","ODS_05","TABLE_050_BASE"
"VIEW_APP_05","TABLE_050_VIEW","DWD_05","TABLE_050_PROFILE"
"VIEW_APP_05","TABLE_051_VIEW","ODS_05","TABLE_051_BASE"
"VIEW_APP_05","TABLE_051_VIEW","DWD_05","TABLE_051_PROFILE"
"VIEW_APP_05","TABLE_051_VIEW","ADS_05","TABLE_051_SUMMARY"
"VIEW_APP_05","TABLE_052_VIEW","ODS_05","TABLE_052_BASE"
"VIEW_APP_05","TABLE_052_VIEW","DWD_05","TABLE_052_PROFILE"
"VIEW_APP_05","TABLE_053_VIEW","ODS_05","TABLE_053_BASE"
"VIEW_APP_05","TABLE_053_VIEW","DWD_05","TABLE_053_PROFILE"
"VIEW_APP_05","TABLE_054_VIEW","ODS_05","TABLE_054_BASE"
"VIEW_APP_05","TABLE_054_VIEW","DWD_05","TABLE_054_PROFILE"
"VIEW_APP_05","TABLE_054_VIEW","ADS_05","TABLE_054_SUMMARY"
"VIEW_APP_05","TABLE_055_VIEW","ODS_05","TABLE_055_BASE"
"VIEW_APP_05","TABLE_055_VIEW","DWD_05","TABLE_055_PROFILE"
"VIEW_APP_05","TABLE_056_VIEW","ODS_05","TABLE_056_BASE"
"VIEW_APP_05","TABLE_056_VIEW","DWD_05","TABLE_056_PROFILE"
"VIEW_APP_05","TABLE_057_VIEW","ODS_05","TABLE_057_BASE"
"VIEW_APP_05","TABLE_057_VIEW","DWD_05","TABLE_057_PROFILE"
"VIEW_APP_05","TABLE_057_VIEW","ADS_05","TABLE_057_SUMMARY"
"VIEW_APP_05","TABLE_058_VIEW","ODS_05","TABLE_058_BASE"
"VIEW_APP_05","TABLE_058_VIEW","DWD_05","TABLE_058_PROFILE"
"VIEW_APP_05","TABLE_059_VIEW","ODS_05","TABLE_059_BASE"
"VIEW_APP_05","TABLE_059_VIEW","DWD_05","TABLE_059_PROFILE"
"VIEW_APP_05","TABLE_060_VIEW","ODS_05","TABLE_060_BASE"
"VIEW_APP_05","TABLE_060_VIEW","DWD_05","TABLE_060_PROFILE"
"VIEW_APP_05","TABLE_060_VIEW","ADS_05","TABLE_060_SUMMARY"
"VIEW_APP_06","TABLE_061_VIEW","ODS_06","TABLE_061_BASE"
"VIEW_APP_06","TABLE_061_VIEW","DWD_06","TABLE_061_PROFILE"
"VIEW_APP_06","TABLE_062_VIEW","ODS_06","TABLE_062_BASE"
"VIEW_APP_06","TABLE_062_VIEW","DWD_06","TABLE_062_PROFILE"
"VIEW_APP_06","TABLE_063_VIEW","ODS_06","TABLE_063_BASE"
"VIEW_APP_06","TABLE_063_VIEW","DWD_06","TABLE_063_PROFILE"
"VIEW_APP_06","TABLE_063_VIEW","ADS_06","TABLE_063_SUMMARY"
"VIEW_APP_06","TABLE_064_VIEW","ODS_06","TABLE_064_BASE"
"VIEW_APP_06","TABLE_064_VIEW","DWD_06","TABLE_064_PROFILE"
"VIEW_APP_06","TABLE_065_VIEW","ODS_06","TABLE_065_BASE"
"VIEW_APP_06","TABLE_065_VIEW","DWD_06","TABLE_065_PROFILE"
"VIEW_APP_06","TABLE_066_VIEW","ODS_06","TABLE_066_BASE"
"VIEW_APP_06","TABLE_066_VIEW","DWD_06","TABLE_066_PROFILE"
"VIEW_APP_06","TABLE_066_VIEW","ADS_06","TABLE_066_SUMMARY"
"VIEW_APP_06","TABLE_067_VIEW","ODS_06","TABLE_067_BASE"
"VIEW_APP_06","TABLE_067_VIEW","DWD_06","TABLE_067_PROFILE"
"VIEW_APP_06","TABLE_068_VIEW","ODS_06","TABLE_068_BASE"
"VIEW_APP_06","TABLE_068_VIEW","DWD_06","TABLE_068_PROFILE"
"VIEW_APP_06","TABLE_069_VIEW","ODS_06","TABLE_069_BASE"
"VIEW_APP_06","TABLE_069_VIEW","DWD_06","TABLE_069_PROFILE"
"VIEW_APP_06","TABLE_069_VIEW","ADS_06","TABLE_069_SUMMARY"
"VIEW_APP_06","TABLE_070_VIEW","ODS_06","TABLE_070_BASE"
"VIEW_APP_06","TABLE_070_VIEW","DWD_06","TABLE_070_PROFILE"
"VIEW_APP_06","TABLE_071_VIEW","ODS_06","TABLE_071_BASE"
"VIEW_APP_06","TABLE_071_VIEW","DWD_06","TABLE_071_PROFILE"
"VIEW_APP_06","TABLE_072_VIEW","ODS_06","TABLE_072_BASE"
"VIEW_APP_06","TABLE_072_VIEW","DWD_06","TABLE_072_PROFILE"
"VIEW_APP_06","TABLE_072_VIEW","ADS_06","TABLE_072_SUMMARY"
"VIEW_APP_07","TABLE_073_VIEW","ODS_07","TABLE_073_BASE"
"VIEW_APP_07","TABLE_073_VIEW","DWD_07","TABLE_073_PROFILE"
"VIEW_APP_07","TABLE_074_VIEW","ODS_07","TABLE_074_BASE"
"VIEW_APP_07","TABLE_074_VIEW","DWD_07","TABLE_074_PROFILE"
"VIEW_APP_07","TABLE_075_VIEW","ODS_07","TABLE_075_BASE"
"VIEW_APP_07","TABLE_075_VIEW","DWD_07","TABLE_075_PROFILE"
"VIEW_APP_07","TABLE_075_VIEW","ADS_07","TABLE_075_SUMMARY"
"VIEW_APP_07","TABLE_076_VIEW","ODS_07","TABLE_076_BASE"
"VIEW_APP_07","TABLE_076_VIEW","DWD_07","TABLE_076_PROFILE"
"VIEW_APP_07","TABLE_077_VIEW","ODS_07","TABLE_077_BASE"
"VIEW_APP_07","TABLE_077_VIEW","DWD_07","TABLE_077_PROFILE"
"VIEW_APP_07","TABLE_078_VIEW","ODS_07","TABLE_078_BASE"
"VIEW_APP_07","TABLE_078_VIEW","DWD_07","TABLE_078_PROFILE"
"VIEW_APP_07","TABLE_078_VIEW","ADS_07","TABLE_078_SUMMARY"
"VIEW_APP_07","TABLE_079_VIEW","ODS_07","TABLE_079_BASE"
"VIEW_APP_07","TABLE_079_VIEW","DWD_07","TABLE_079_PROFILE"
"VIEW_APP_07","TABLE_080_VIEW","ODS_07","TABLE_080_BASE"
"VIEW_APP_07","TABLE_080_VIEW","DWD_07","TABLE_080_PROFILE"
"VIEW_APP_07","TABLE_081_VIEW","ODS_07","TABLE_081_BASE"
"VIEW_APP_07","TABLE_081_VIEW","DWD_07","TABLE_081_PROFILE"
"VIEW_APP_07","TABLE_081_VIEW","ADS_07","TABLE_081_SUMMARY"
"VIEW_APP_07","TABLE_082_VIEW","ODS_07","TABLE_082_BASE"
"VIEW_APP_07","TABLE_082_VIEW","DWD_07","TABLE_082_PROFILE"
"VIEW_APP_07","TABLE_083_VIEW","ODS_07","TABLE_083_BASE"
"VIEW_APP_07","TABLE_083_VIEW","DWD_07","TABLE_083_PROFILE"
"VIEW_APP_07","TABLE_084_VIEW","ODS_07","TABLE_084_BASE"
"VIEW_APP_07","TABLE_084_VIEW","DWD_07","TABLE_084_PROFILE"
"VIEW_APP_07","TABLE_084_VIEW","ADS_07","TABLE_084_SUMMARY"
"VIEW_APP_08","TABLE_085_VIEW","ODS_08","TABLE_085_BASE"
"VIEW_APP_08","TABLE_085_VIEW","DWD_08","TABLE_085_PROFILE"
"VIEW_APP_08","TABLE_086_VIEW","ODS_08","TABLE_086_BASE"
"VIEW_APP_08","TABLE_086_VIEW","DWD_08","TABLE_086_PROFILE"
"VIEW_APP_08","TABLE_087_VIEW","ODS_08","TABLE_087_BASE"
"VIEW_APP_08","TABLE_087_VIEW","DWD_08","TABLE_087_PROFILE"
"VIEW_APP_08","TABLE_087_VIEW","ADS_08","TABLE_087_SUMMARY"
"VIEW_APP_08","TABLE_088_VIEW","ODS_08","TABLE_088_BASE"
"VIEW_APP_08","TABLE_088_VIEW","DWD_08","TABLE_088_PROFILE"
"VIEW_APP_08","TABLE_089_VIEW","ODS_08","TABLE_089_BASE"
"VIEW_APP_08","TABLE_089_VIEW","DWD_08","TABLE_089_PROFILE"
"VIEW_APP_08","TABLE_090_VIEW","ODS_08","TABLE_090_BASE"
"VIEW_APP_08","TABLE_090_VIEW","DWD_08","TABLE_090_PROFILE"
"VIEW_APP_08","TABLE_090_VIEW","ADS_08","TABLE_090_SUMMARY"
"VIEW_APP_08","TABLE_091_VIEW","ODS_08","TABLE_091_BASE"
"VIEW_APP_08","TABLE_091_VIEW","DWD_08","TABLE_091_PROFILE"
"VIEW_APP_08","TABLE_092_VIEW","ODS_08","TABLE_092_BASE"
"VIEW_APP_08","TABLE_092_VIEW","DWD_08","TABLE_092_PROFILE"
"VIEW_APP_08","TABLE_093_VIEW","ODS_08","TABLE_093_BASE"
"VIEW_APP_08","TABLE_093_VIEW","DWD_08","TABLE_093_PROFILE"
"VIEW_APP_08","TABLE_093_VIEW","ADS_08","TABLE_093_SUMMARY"
"VIEW_APP_08","TABLE_094_VIEW","ODS_08","TABLE_094_BASE"
"VIEW_APP_08","TABLE_094_VIEW","DWD_08","TABLE_094_PROFILE"
"VIEW_APP_08","TABLE_095_VIEW","ODS_08","TABLE_095_BASE"
"VIEW_APP_08","TABLE_095_VIEW","DWD_08","TABLE_095_PROFILE"
"VIEW_APP_08","TABLE_096_VIEW","ODS_08","TABLE_096_BASE"
"VIEW_APP_08","TABLE_096_VIEW","DWD_08","TABLE_096_PROFILE"
"VIEW_APP_08","TABLE_096_VIEW","ADS_08","TABLE_096_SUMMARY"
"VIEW_APP_09","TABLE_097_VIEW","ODS_09","TABLE_097_BASE"
"VIEW_APP_09","TABLE_097_VIEW","DWD_09","TABLE_097_PROFILE"
"VIEW_APP_09","TABLE_098_VIEW","ODS_09","TABLE_098_BASE"
"VIEW_APP_09","TABLE_098_VIEW","DWD_09","TABLE_098_PROFILE"
"VIEW_APP_09","TABLE_099_VIEW","ODS_09","TABLE_099_BASE"
"VIEW_APP_09","TABLE_099_VIEW","DWD_09","TABLE_099_PROFILE"
"VIEW_APP_09","TABLE_099_VIEW","ADS_09","TABLE_099_SUMMARY"
"VIEW_APP_09","TABLE_100_VIEW","ODS_09","TABLE_100_BASE"
"VIEW_APP_09","TABLE_100_VIEW","DWD_09","TABLE_100_PROFILE"
"VIEW_APP_09","TABLE_101_VIEW","ODS_09","TABLE_101_BASE"
"VIEW_APP_09","TABLE_101_VIEW","DWD_09","TABLE_101_PROFILE"
"VIEW_APP_09","TABLE_102_VIEW","ODS_09","TABLE_102_BASE"
"VIEW_APP_09","TABLE_102_VIEW","DWD_09","TABLE_102_PROFILE"
"VIEW_APP_09","TABLE_102_VIEW","ADS_09","TABLE_102_SUMMARY"
"VIEW_APP_09","TABLE_103_VIEW","ODS_09","TABLE_103_BASE"
"VIEW_APP_09","TABLE_103_VIEW","DWD_09","TABLE_103_PROFILE"
"VIEW_APP_09","TABLE_104_VIEW","ODS_09","TABLE_104_BASE"
"VIEW_APP_09","TABLE_104_VIEW","DWD_09","TABLE_104_PROFILE"
"VIEW_APP_09","TABLE_105_VIEW","ODS_09","TABLE_105_BASE"
"VIEW_APP_09","TABLE_105_VIEW","DWD_09","TABLE_105_PROFILE"
"VIEW_APP_09","TABLE_105_VIEW","ADS_09","TABLE_105_SUMMARY"
"VIEW_APP_09","TABLE_106_VIEW","ODS_09","TABLE_106_BASE"
"VIEW_APP_09","TABLE_106_VIEW","DWD_09","TABLE_106_PROFILE"
"VIEW_APP_09","TABLE_107_VIEW","ODS_09","TABLE_107_BASE"
"VIEW_APP_09","TABLE_107_VIEW","DWD_09","TABLE_107_PROFILE"
"VIEW_APP_09","TABLE_108_VIEW","ODS_09","TABLE_108_BASE"
"VIEW_APP_09","TABLE_108_VIEW","DWD_09","TABLE_108_PROFILE"
"VIEW_APP_09","TABLE_108_VIEW","ADS_09","TABLE_108_SUMMARY"
"VIEW_APP_10","TABLE_109_VIEW","ODS_10","TABLE_109_BASE"
"VIEW_APP_10","TABLE_109_VIEW","DWD_10","TABLE_109_PROFILE"
"VIEW_APP_10","TABLE_110_VIEW","ODS_10","TABLE_110_BASE"
"VIEW_APP_10","TABLE_110_VIEW","DWD_10","TABLE_110_PROFILE"
"VIEW_APP_10","TABLE_111_VIEW","ODS_10","TABLE_111_BASE"
"VIEW_APP_10","TABLE_111_VIEW","DWD_10","TABLE_111_PROFILE"
"VIEW_APP_10","TABLE_111_VIEW","ADS_10","TABLE_111_SUMMARY"
"VIEW_APP_10","TABLE_112_VIEW","ODS_10","TABLE_112_BASE"
"VIEW_APP_10","TABLE_112_VIEW","DWD_10","TABLE_112_PROFILE"
"VIEW_APP_10","TABLE_113_VIEW","ODS_10","TABLE_113_BASE"
"VIEW_APP_10","TABLE_113_VIEW","DWD_10","TABLE_113_PROFILE"
"VIEW_APP_10","TABLE_114_VIEW","ODS_10","TABLE_114_BASE"
"VIEW_APP_10","TABLE_114_VIEW","DWD_10","TABLE_114_PROFILE"
"VIEW_APP_10","TABLE_114_VIEW","ADS_10","TABLE_114_SUMMARY"
"VIEW_APP_10","TABLE_115_VIEW","ODS_10","TABLE_115_BASE"
"VIEW_APP_10","TABLE_115_VIEW","DWD_10","TABLE_115_PROFILE"
"VIEW_APP_10","TABLE_116_VIEW","ODS_10","TABLE_116_BASE"
"VIEW_APP_10","TABLE_116_VIEW","DWD_10","TABLE_116_PROFILE"
"VIEW_APP_10","TABLE_117_VIEW","ODS_10","TABLE_117_BASE"
"VIEW_APP_10","TABLE_117_VIEW","DWD_10","TABLE_117_PROFILE"
"VIEW_APP_10","TABLE_117_VIEW","ADS_10","TABLE_117_SUMMARY"
"VIEW_APP_10","TABLE_118_VIEW","ODS_10","TABLE_118_BASE"
"VIEW_APP_10","TABLE_118_VIEW","DWD_10","TABLE_118_PROFILE"
"VIEW_APP_10","TABLE_119_VIEW","ODS_10","TABLE_119_BASE"
"VIEW_APP_10","TABLE_119_VIEW","DWD_10","TABLE_119_PROFILE"
"VIEW_APP_10","TABLE_120_VIEW","ODS_10","TABLE_120_BASE"
"VIEW_APP_10","TABLE_120_VIEW","DWD_10","TABLE_120_PROFILE"
"VIEW_APP_10","TABLE_120_VIEW","ADS_10","TABLE_120_SUMMARY"
"VIEW_APP_11","TABLE_121_VIEW","ODS_11","TABLE_121_BASE"
"VIEW_APP_11","TABLE_121_VIEW","DWD_11","TABLE_121_PROFILE"
"VIEW_APP_11","TABLE_122_VIEW","ODS_11","TABLE_122_BASE"
"VIEW_APP_11","TABLE_122_VIEW","DWD_11","TABLE_122_PROFILE"
"VIEW_APP_11","TABLE_123_VIEW","ODS_11","TABLE_123_BASE"
"VIEW_APP_11","TABLE_123_VIEW","DWD_11","TABLE_123_PROFILE"
"VIEW_APP_11","TABLE_123_VIEW","ADS_11","TABLE_123_SUMMARY"
"VIEW_APP_11","TABLE_124_VIEW","ODS_11","TABLE_124_BASE"
"VIEW_APP_11","TABLE_124_VIEW","DWD_11","TABLE_124_PROFILE"
"VIEW_APP_11","TABLE_125_VIEW","ODS_11","TABLE_125_BASE"
"VIEW_APP_11","TABLE_125_VIEW","DWD_11","TABLE_125_PROFILE"
"VIEW_APP_11","TABLE_126_VIEW","ODS_11","TABLE_126_BASE"
"VIEW_APP_11","TABLE_126_VIEW","DWD_11","TABLE_126_PROFILE"
"VIEW_APP_11","TABLE_126_VIEW","ADS_11","TABLE_126_SUMMARY"
"VIEW_APP_11","TABLE_127_VIEW","ODS_11","TABLE_127_BASE"
"VIEW_APP_11","TABLE_127_VIEW","DWD_11","TABLE_127_PROFILE"
"VIEW_APP_11","TABLE_128_VIEW","ODS_11","TABLE_128_BASE"
"VIEW_APP_11","TABLE_128_VIEW","DWD_11","TABLE_128_PROFILE"
"VIEW_APP_11","TABLE_129_VIEW","ODS_11","TABLE_129_BASE"
"VIEW_APP_11","TABLE_129_VIEW","DWD_11","TABLE_129_PROFILE"
"VIEW_APP_11","TABLE_129_VIEW","ADS_11","TABLE_129_SUMMARY"
"VIEW_APP_11","TABLE_130_VIEW","ODS_11","TABLE_130_BASE"
"VIEW_APP_11","TABLE_130_VIEW","DWD_11","TABLE_130_PROFILE"
"VIEW_APP_11","TABLE_131_VIEW","ODS_11","TABLE_131_BASE"
"VIEW_APP_11","TABLE_131_VIEW","DWD_11","TABLE_131_PROFILE"
"VIEW_APP_11","TABLE_132_VIEW","ODS_11","TABLE_132_BASE"
"VIEW_APP_11","TABLE_132_VIEW","DWD_11","TABLE_132_PROFILE"
"VIEW_APP_11","TABLE_132_VIEW","ADS_11","TABLE_132_SUMMARY"
"VIEW_APP_12","TABLE_133_VIEW","ODS_12","TABLE_133_BASE"
"VIEW_APP_12","TABLE_133_VIEW","DWD_12","TABLE_133_PROFILE"
"VIEW_APP_12","TABLE_134_VIEW","ODS_12","TABLE_134_BASE"
"VIEW_APP_12","TABLE_134_VIEW","DWD_12","TABLE_134_PROFILE"
"VIEW_APP_12","TABLE_135_VIEW","ODS_12","TABLE_135_BASE"
"VIEW_APP_12","TABLE_135_VIEW","DWD_12","TABLE_135_PROFILE"
"VIEW_APP_12","TABLE_135_VIEW","ADS_12","TABLE_135_SUMMARY"
"VIEW_APP_12","TABLE_136_VIEW","ODS_12","TABLE_136_BASE"
"VIEW_APP_12","TABLE_136_VIEW","DWD_12","TABLE_136_PROFILE"
"VIEW_APP_12","TABLE_137_VIEW","ODS_12","TABLE_137_BASE"
"VIEW_APP_12","TABLE_137_VIEW","DWD_12","TABLE_137_PROFILE"
"VIEW_APP_12","TABLE_138_VIEW","ODS_12","TABLE_138_BASE"
"VIEW_APP_12","TABLE_138_VIEW","DWD_12","TABLE_138_PROFILE"
"VIEW_APP_12","TABLE_138_VIEW","ADS_12","TABLE_138_SUMMARY"
"VIEW_APP_12","TABLE_139_VIEW","ODS_12","TABLE_139_BASE"
"VIEW_APP_12","TABLE_139_VIEW","DWD_12","TABLE_139_PROFILE"
"VIEW_APP_12","TABLE_140_VIEW","ODS_12","TABLE_140_BASE"
"VIEW_APP_12","TABLE_140_VIEW","DWD_12","TABLE_140_PROFILE"
"VIEW_APP_12","TABLE_141_VIEW","ODS_12","TABLE_141_BASE"
"VIEW_APP_12","TABLE_141_VIEW","DWD_12","TABLE_141_PROFILE"
"VIEW_APP_12","TABLE_141_VIEW","ADS_12","TABLE_141_SUMMARY"
